date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:09	83701/83701	---MCZ	200	added ('OK')	text/html	etag:W/%22146f5-GPTVtzmv0sD8zxCmpGnwGVDDP6c%22	https://footballpeek.com/bundesliga/2020-2021/9	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/9.html	(from https://footballpeek.com/bundesliga/2020-2021/8)
12:36:10	87574/87574	---MCZ	200	added ('OK')	text/html	etag:W/%2215616-lKpcGtDHB+1RRV3Iv8omP/MoUcw%22	https://footballpeek.com/premier-league/2020-2021/11	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/11.html	(from https://footballpeek.com/premier-league/2020-2021/10)
12:36:11	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-8yFiueIVxO3DrQn1SVvk7WTXqr8%22	https://footballpeek.com/liga/2020-2021/12	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/12.html	(from https://footballpeek.com/liga/2020-2021/11)
12:36:12	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-1ZLwP2iZgIdES4G+UaMwfr9EY8Q%22	https://footballpeek.com/ligue-1/2020-2021/13	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/13.html	(from https://footballpeek.com/ligue-1/2020-2021/12)
12:36:13	85767/85767	---MCZ	200	added ('OK')	text/html	etag:W/%2214f07-uyYfX2yPi5HBtzIdjjxzfVZIqFM%22	https://footballpeek.com/serie-a/2020-2021/10	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/10.html	(from https://footballpeek.com/serie-a/2020-2021/9)
12:36:14	83701/83701	---MCZ	200	added ('OK')	text/html	etag:W/%22146f5-+2qAHwldwQJSmFKpvjlJ9pNGZuU%22	https://footballpeek.com/bundesliga/2020-2021/10	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/10.html	(from https://footballpeek.com/bundesliga/2020-2021/9)
12:36:15	87574/87574	---MCZ	200	added ('OK')	text/html	etag:W/%2215616-gOuQEpSkU+dxPptukrFtQr7DX2k%22	https://footballpeek.com/premier-league/2020-2021/12	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/12.html	(from https://footballpeek.com/premier-league/2020-2021/11)
12:36:16	85489/85489	---MCZ	200	added ('OK')	text/html	etag:W/%2214df1-4yGdmRXcYxIYm0V215+Qqb7rKuw%22	https://footballpeek.com/liga/2020-2021/13	/home/neeraj/websites/FootbalPeek/footballpeek.com/liga/2020-2021/13.html	(from https://footballpeek.com/liga/2020-2021/12)
12:36:17	86487/86487	---MCZ	200	added ('OK')	text/html	etag:W/%22151d7-tFqL1qzgds/5duQcoXal/2J/J3I%22	https://footballpeek.com/ligue-1/2020-2021/14	/home/neeraj/websites/FootbalPeek/footballpeek.com/ligue-1/2020-2021/14.html	(from https://footballpeek.com/ligue-1/2020-2021/13)
12:36:18	85768/85768	---MCZ	200	added ('OK')	text/html	etag:W/%2214f08-NrcBSRRuN8vBGGxpydoVreQJA04%22	https://footballpeek.com/serie-a/2020-2021/11	/home/neeraj/websites/FootbalPeek/footballpeek.com/serie-a/2020-2021/11.html	(from https://footballpeek.com/serie-a/2020-2021/10)
12:36:19	83702/83702	---MCZ	200	added ('OK')	text/html	etag:W/%22146f6-pWIbntL03sjPxeoKt5wsVuiYvVQ%22	https://footballpeek.com/bundesliga/2020-2021/11	/home/neeraj/websites/FootbalPeek/footballpeek.com/bundesliga/2020-2021/11.html	(from https://footballpeek.com/bundesliga/2020-2021/10)
12:36:20	87853/87853	---MCZ	200	added ('OK')	text/html	etag:W/%221572d-GzmDD/4BAmnG8J8ILF1aaA+mt6I%22	https://footballpeek.com/premier-league/2020-2021/13	/home/neeraj/websites/FootbalPeek/footballpeek.com/premier-league/2020-2021/13.html	(from https://footballpeek.com/premier-league/2020-2021/12)
